"RN"|"PIPE"|"RDATE"|"REC"|"MATERIAL_DESC"|"MATERIAL_SIZE"|"SIZE_DESC"|"OUT_DIAMETER"|"TOP"|"BOTTOM"
65174|A|23/11/1986|1|PLAS|5|WT|110|0|19.8
65174|A|23/11/1986|2|PERF|5|AP|110|19.8|22.6
65174|A|23/11/1986|3||||||
13700130|A|27/11/1967|1|STEL|7.95|WT|304|0|22.4
13700130|A|27/11/1967|2|SCRN|2.54|AP||22.1|27.7
13700160|A|02/05/1989|1|PLAS|3.1|WT|50|0|12
13700160|A|02/05/1989|2|PERF|||50|10.5|12
13700161|A|02/05/1989|1|PLAS|3.1|WT|50|0|33.5
13700161|A|02/05/1989|2|PERF|||50|31.5|33.5
65514|A|21/12/1989|1|PLAS|5.9|WT|125|0|36.6
65514|A|21/12/1989|2|PERF|||125|18.3|21.3
65514|A|21/12/1989|3|PERF|||125|24.4|27.4
65514|A|21/12/1989|4|PERF|||125|33.5|36.6
65549|A|15/03/1990|1|PLAS|5.9|WT|140||25.9
65549|A|15/03/1990|2|PERF|5.9|AP|140|25.9|29.6
40000|A|07/07/1966|1|STEL|||203|0|29.9
40000|A|07/07/1966|2|PERF|||203|24.1|29.9
40001|A|02/06/1970|1|STEL|||203|0|34.7
40001|A|02/06/1970|2|SCRN||||34.3|38.1
40002|A|01/01/1938|1|||||0|18.3
40002|A|01/01/1938|2|STEL|||203|18.3|30.5
95148|A|15/11/1993|1|PLAS|5.9|WT|140|0|19.8
40004|A|01/01/1967|1|STEL|||203|0|30.5
40005|A|01/01/1967|1|STEL|||203|0|36.6
40006|A|28/03/1962|1|STEL|||203|0|31.7
40007|A|01/02/1970|1|STEL|||203|0|36.6
40008|A|01/01/1965|1|STEL|||203|0|29.3
40008|A|01/01/1965|2|SCRN|1.626|AP||29.3|29.6
40009|A|28/05/1970|1|STEL|||203|0|33.8
40009|A|28/05/1970|2|SCRN|1.651|AP||34|34.6
40011|A|01/10/1964|1|STEL|||203|0|33.1
40011|A|01/10/1964|2|SCRN|1.016|AP||33.2|33.8
40012|A|01/01/1963|1|||||0|15.2
40012|A|01/01/1963|2|STEL|||203|0|28.7
53209|A|08/07/1976|3|SCRN|1.143|AP||22.6|24.4
40013|A|01/01/1965|1|STEL|||203|0|31.7
40013|A|01/01/1965|2|SCRN||||31.7|35.4
40014|A|25/03/1965|1|STEL|||203|0|29.7
40014|A|25/03/1965|2|SCRN|2.286|AP||29.1|33.2
40015|A|01/01/1960|1|||||0|16.5
40015|A|01/01/1960|2|STEL|||152|16.2|32.3
40016|A|01/01/1965|1|STEL|||152|0|33.5
40016|A|01/01/1965|2|PERF|||152|28.7|33.5
40017|A|01/01/1966|1|STEL|||203|0|34.1
40017|A|01/01/1966|2|PERF|||203|29.3|34.1
40018|A|17/07/1970|1|||||0|16.5
40018|A|17/07/1970|2|STEL|||101|16.5|26.8
40019|A|01/01/1967|1|PLAS|||152|0|23.2
40019|A|01/01/1967|2|PERF|||152|21.9|23.2
40020|A|01/01/1958|1|||||0|12.2
40020|A|01/01/1958|2|STEL|||203|12.2|28.7
40021|A|01/01/1958|1|||||0|15.2
40021|A|01/01/1958|2|STEL|||203|15.2|36.6
40022|A|20/07/1970|1|STEL|||203|0|27.4
40022|A|20/07/1970|2|SCRN||||27.4|39.6
40023|A|06/01/1970|1|PLAS|||127|0|27.4
40023|A|06/01/1970|2|PERF|||127|26.5|27.4
40024|A|20/07/1970|1|||||0|15.2
40024|A|20/07/1970|2|STEL|||203|15.2|27.4
40025|A|08/09/1964|1|STEL|||152|0|40.2
40025|A|08/09/1964|2|SCRN||||39.6|43.4
40026|A|01/01/1961|1|STEL|||203|0|28.65
40027|A|01/01/1958|1|CONC|||900|0|1.52
40028|A|01/01/1939|1|||||0|17.1
