"RN"|"FACILITY_ROLE"|"COMMENTS"
65912|WS|
41625|WS|
74487|WS|
40731|WS|
40749|WS|
53758|WS|
143455|WS|
108588|WS|
95215|WS|
41605|WS|
144111|WS|
139490|WS|
144113|WS|
144110|WS|
108590|WS|
108591|WS|
108592|WS|
145183|WS|
92447|WS|
145927|WS|
127051|WS|
102552|WS|
135152|WS|
41983|WS|
145928|WS|
42776|WS|
42802|WS|
42922|WS|
125323|WS|
144109|WS|
135151|WS|
134016|WS|
53750|WS|
145929|WS|
144107|WS|
92452|WS|
145930|WS|
65188|WS|
65207|WS|
145934|WS|
145931|WS|
145184|WS|
65436|WS|
145932|WS|
145933|WS|
65526|WS|
95298|WS|
133734|SM|
135153|WS|
95339|WS|
65668|WS|
134017|WS|
134018|WS|
65783|WS|
134019|WS|
105790|WS|
122410|WS|
145935|WS|
110817|WS|
110812|WS|
95017|WS|
105789|WS|
125325|WS|
117201|WS|
