"RN"|"RDATE"|"IRREGULARITY"|"COMMENTS"
85499|08/10/1997|HCB|
85499|10/06/1992|HCB|
78702|01/06/1996|GAS|
92411|16/08/1995|GAS|
72359|30/08/1990|GAS|
72004|01/08/1996|GAS|
45180|04/08/1996|GAS|
72196|05/06/1997|GAS|
45956|16/07/1997|GAS|
72262|30/08/1997|GAS|
92500003|31/08/1997|TUR|
92010004|19/05/1998|CO2|
92010006|20/05/1998|CO2|
333|01/05/1998|GAS|
72359|12/05/1999|GAS|
18187|07/08/1999|GAS|
72004|07/08/1999|GAS|
3029|06/08/1999|GAS|
3030|10/08/1999|GAS|
45180|09/08/1999|GAS|
45873|08/08/1999|GAS|
78741|06/08/1999|GAS|
22530|21/10/1987|GAS|
38530|19/01/1988|GAS|
86802|14/05/1991|GAS|
86855|15/05/1991|GAS|
22628|11/08/1987|GAS|
16550|09/07/1987|GAS|
15582|20/05/1987|GAS|
12447|10/01/1980|GAS|
17385|21/05/1987|GAS|
12633|09/08/1979|GAS|
12633|14/05/1987|GAS|
12569|29/04/1987|GAS|
12569|29/04/1987|TUR|
38530|31/03/1999|GAS|
16550|25/03/1999|GAS|
15582|26/03/1999|GAS|
23063|30/03/1999|GAS|
15101|29/03/1999|GAS|
13710|24/03/1999|GAS|
14906|29/03/1999|GAS|
14906|23/03/1999|GAS|
13601|20/03/1998|GAS|
15527|22/04/1999|SAN|
3819|19/05/1999|GAS|
23043|15/04/1996|GAS|
23145|22/04/1996|GAS|
13443|17/04/1996|SAN|
23581|24/04/1996|HCB|
23581|24/04/1996|GAS|
51031|21/05/1996|GAS|
391|23/07/1996|GAS|
15413|22/07/1996|GAS|
69388|18/04/1996|GAS|
23062|18/04/1996|GAS|
389|23/07/1996|GAS|
10679|13/05/1996|GAS|
1867|24/07/1996|GAS|
1369|08/05/1996|GAS|
51801|28/10/1996|GAS|
6734|01/11/1996|GAS|
51550|04/11/1996|GAS|
16964|17/09/1996|GAS|
51385|18/11/1996|GAS|
