"RN"|"REC"|"SEQ"|"LITHOLOGY_CODE"
65054|1|1|GRAV
65062|1|1|SAND
65062|1|2|GRAV
65281|1|1|GRAV
65281|1|2|CLAY
65281|1|3|GRAV
65550|1|1|SANC
65550|2|1|SAND
65550|2|2|GRAV
65550|2|3|SAND
65478|1|1|SHLE
40002|1|1|GRAV
40002|1|2|SAND
40002|2|1|SILT
40002|2|2|SAND
40002|2|3|GRAV
40006|1|1|GRAV
40006|2|1|SAND
40006|2|2|GRAV
40008|1|1|SAND
40008|1|2|GRAV
40009|1|1|SILT
40009|1|2|SAND
40009|2|1|GRAV
40009|2|2|SAND
40011|1|1|GRAV
40011|1|2|SAND
40011|2|1|GRAV
40011|2|2|SAND
40022|1|1|CLAY
40022|1|2|SAND
40025|1|1|SAND
40025|1|2|CLAY
40029|1|1|GRAV
40029|1|2|SAND
40030|1|1|SAND
40030|1|2|GRAV
40030|1|3|CLAY
40031|1|1|GRAV
40031|1|2|SAND
40031|1|3|CLAY
40765|1|1|GRAV
40765|1|2|SAND
40032|1|1|GRAV
40032|1|2|SAND
40038|1|1|GRAV
40038|1|2|SAND
40039|1|1|SILT
40039|1|2|SAND
40039|1|3|CLAY
40040|1|1|GRAV
40040|1|2|SAND
40043|1|1|GRAV
40043|1|2|SAND
40047|1|1|GRAV
40047|1|2|SAND
40050|1|1|SAND
40050|1|2|GRAV
40064|1|1|SAND
40064|1|2|CLAY
40064|1|3|GRAV
40066|1|1|SAND
40073|1|1|CLAY
40073|1|2|SAND
