"RN"|"PIPE"|"RDATE"|"DEPTH"|"MEASUREMENT"|"TEMP"
13600158|A|11/04/1990|-3|39400|
13600158|A|11/04/1990|-4|40000|
13600158|A|11/04/1990|-5|40000|
13600158|A|11/04/1990|-6|40000|
13600158|A|11/04/1990|-7|40000|
13600158|A|11/04/1990|-8|40000|
13600158|A|11/04/1990|-9|40000|
13600158|A|11/04/1990|-10|40000|
13600158|A|11/04/1990|-11|40100|
13600158|A|11/04/1990|-12|40100|
13600158|A|11/04/1990|-13|40200|
13600158|A|11/04/1990|-14|40200|
13600158|A|11/04/1990|-15|40200|
13600158|A|11/04/1990|-16|40200|
13600158|A|11/04/1990|-17|40300|
13600158|A|11/04/1990|-18|40400|
13600158|A|11/04/1990|-19|40400|
13600158|A|11/04/1990|-20|40400|
13600158|A|11/04/1990|-21|40400|
13600158|A|11/04/1990|-22|40400|
13600158|A|11/04/1990|-23|40400|
13600158|A|11/04/1990|-24|40400|
13600158|A|11/04/1990|-25|40400|
13600158|A|11/04/1990|-26|40400|
13600158|A|11/04/1990|-27|40400|
13600158|A|11/04/1990|-28|40400|
13600158|A|11/04/1990|-29|40500|
13600158|A|11/04/1990|-30|40500|
13600158|A|11/04/1990|-31|40500|
13600158|A|11/04/1990|-32|40500|
13600158|A|11/04/1990|-33|40500|
13600158|A|11/04/1990|-34|40500|
13600158|A|11/04/1990|-35|40500|
13600158|A|11/04/1990|-36|40500|
13600158|A|11/04/1990|-37|40500|
13600158|A|11/04/1990|-38|40500|
13600158|A|11/04/1990|-39|40500|
13600158|A|11/04/1990|-40|40500|
13600158|A|11/04/1990|-41|40500|
13600158|A|11/04/1990|-42|40500|
13600158|A|11/04/1990|-43|42000|
13600158|A|11/04/1990|-44|42200|
13600158|A|11/04/1990|-45|42100|
13600158|A|11/04/1990|-46|42100|
13600158|A|11/04/1990|-47|42000|
13600158|A|11/04/1990|-48|42000|
13600158|A|11/04/1990|-49|42000|
13600158|A|11/04/1990|-50|33400|
13600161|B|11/04/1990|-42|38500|
13600161|B|11/04/1990|-41|38400|
13600161|B|11/04/1990|-40|37900|
13600161|B|11/04/1990|-39|37000|
13600161|B|11/04/1990|-38|36500|
13600161|B|11/04/1990|-37|34800|
13600161|B|11/04/1990|-36|34700|
13600161|B|11/04/1990|-35|34200|
13600161|B|11/04/1990|-34|33300|
13600161|B|11/04/1990|-33|33300|
13600161|B|11/04/1990|-32|33200|
13600161|B|11/04/1990|-31|33000|
13600161|B|11/04/1990|-30|32300|
13600161|B|11/04/1990|-29|30500|
13600161|B|11/04/1990|-28|28500|
13600161|B|11/04/1990|-27|26600|
13600161|B|11/04/1990|-26|24500|
