"RN"|"RDATE"|"PRECIPITATES"|"COMMENTS"
85499|08/10/1997|I|
3481|01/08/1996|C|
72004|07/08/1999|C|
51055|06/07/2000|O|
93757|05/12/2000|O|
77048|06/03/2003|S|
2149|04/03/2003|I|
4256|15/07/2003|I|
4782|13/08/2003|C|
4782|13/08/2003|S|
23518|23/07/2003|S|
14712|23/11/1995|C|
1670|09/01/1995|C|
1670|09/01/1995|I|
1810|22/08/1989|C|
4285|04/07/1912|I|large deposit of iron oxide in drains
118052|03/11/2004|I|
13970|23/06/2004|I|
1645|25/02/2004|I|
1229|15/04/2004|I|
3489|20/01/2005|O|
11369|02/02/2006|I|
93606|24/01/2008|I|
3660|05/07/1967|O|
146013|18/06/2008|I|
146012|19/06/2008|I|
50673|16/06/2009|C|
50623|18/06/2009|C|
126658|23/09/2009|C|
45956|16/09/2009|C|
93415|18/08/2009|I|
146385|18/01/2012|O|
1651|09/08/2010|C|
