"RN"|"FACILITY_TYPE"|"OFFICE"|"SHIRE_CODE"|"PARISH"|"RN_REPLACES"|"DO_FILE"|"RO_FILE"|"HO_FILE"|"FACILITY_STATUS"|"DRILLED_DATE"|"DRILLER_NAME"|"DRILLING_COMP"|"BASIN"|"METHOD_CONST"|"SUB_AREA"|"LOT"|"PLAN"|"DESCRIPTION"|"COUNTY"|"LAT"|"LNG"|"EASTING"|"NORTHING"|"ZONE"|"ACCURACY"|"GPS_ACCURACY"|"GIS_LAT"|"GIS_LNG"|"CHECKED"|"MAP_SCALE"|"MAP_SERIES"|"MAP_NO"|"PROG_SECT"|"EQUIPMENT"|"ORIG_NAME_NO"|"POLYGON"|"DATA_OWNER"|"BORE_LINE_CODE"|"DRILLER_LICENCE_NUMBER"|"LOG_RECEIVED_DATE"
19|SF|BBG|6630|1039||||||01/01/1908|||1363|||||P75V|FITZROY|||||56||||||104|M|9245|||O/S PROCLAIMED AREA||DNR|||
27|SF|BBG|0|1123||||||01/01/1907|||1362|||||P61|FITZROY|||||56||||||||||||||||
28|SF|BBG|0|1123||||||10/11/1906|||1362|||||P60|FITZROY|||||56||||||||||||||||
29|SF|BBG|0|1123||||||01/01/1908|||1362|||||P68|FITZROY|||||56||||||||||||||||
30|SF|BBG|0|3450||||||01/01/1908|||1362|||||P93|FITZROY|||||56||||||||||||||||
248|SF|BBG|6630|3541||||||19/04/1918|||1362|||||POR 132|FITZROY|||||56||||||104|M|9244|||O/S PROCLAIMED AREA||DNR|||
249|SF|BBG|6630|3541|||||AD|19/04/1919|||1362|||||POR 121|FITZROY|||||56||||||104|M|9244|||O/S PROCLAIMED AREA||DNR|||
250|SF|BBG|6630|3541||||||01/12/1921|||1362|||||RESERVE|FITZROY|||||56||||||104|M|9244|||O/S PROC. AREA||DNR|||
110816|SF|BBG|1820|1072|||||EX|14/05/1991|CLARK, ARTHUR||137|ROTARY||1|RP14330|FREEHOLD|COOK|25-15-08|152-18-56|431069|7206949|56|SKET||-25.252302985|152.315501109|N||M|9347-24144|||||DNR||2831|
15733|AF|BBG|6630|2223||5218|||EX|30/01/1964|||1363|||||P63|FITZROY|26-45-39|151-35-19|359662|7039267|56|||-26.760916091|151.588582653|N|||||||||||
16857|SF|BBG|6630|4734||5912|||EX|26/06/1966|R W BOWMAN||1363|ROTARY RIG||1|RP185240|L1 RP185240|FITZROY|26-52-51|151-36-05|361080|7025988|56|||-26.880916032|151.601361486|N||||||||DNR|||
16871|AF|BBG|6630|4382||||L30731B|EX|01/02/1966||||||||POR 58|FITZROY|||||56||||||104|M|9244||||||||
17759|SF|BBG|6630|3041||5914||L29887B|EX|12/12/1967|||1363|ROTARY RIG||||P9|BOONDOOMA|26-37-43|151-24-28|341497|7053702|56|||-26.628694949|151.407751029|N|40C|N|5082||WL| |||||
17760|SF|BBG|6630|3041||  254||L29887B|AD|11/12/1967|||1363|ROTARY RIG||||POR 9|BOONDOOMA|26-36-57|151-23-29|339847|7055097|56|||-26.615917268|151.391362277|N|40C|N|5079||NE| |||||
22004|AB|BBG|3620|1234|||||AD|20/12/1922|||1400|||||A-P 33P|MARCH|26-02-54|153-08-34|514277|7118957|56|||-26.048405795|153.142718735|N|104|M|9545|||QCO QCO 1 (TEWANTIN)|||||
22005|SF|BBG|3620|1234|||||EX|15/01/1923|||1400|CABLE TOOL|||| |MARCH|26-02-54|153-08-34|514277|7118957|56|||-26.048405795|153.142718735|N|104|M|9545||NE|QCO QCO 2 (TEWANTIN)|||||
22006|SF|BBG|3620|1234|||||EX|01/06/1923|||1400|CABLE TOOL|||| |MARCH|26-02-54|153-08-34|514277|7118957|56|||-26.048405795|153.142718735|N|104|M|9545||NE|QCO QCO 3 (TEWANTIN)|||||
