"RN"|"PIPE"|"SAMPNUM"|"BOTTLE"|"VARIABLE_NO"|"FLAG"|"VALUE"|"QUALITY"|"COMMNT"
12600532|A|182289|B|2741.2|<|.004||
12600532|A|182289|B|2751.2|<|.03||
12600532|A|182289|B|2771.2|<|.01||
12600532|A|182289|B|2781.2||4.2||
12600532|A|182289|B|2801.2|<|.02||
12600532|A|182289|B|2811.2||.042||
12600532|A|182289|B|2821.2||.0068||
12600524|A|182290|B|2123.2|<|1||
12600524|A|182290|B|2671.2||.14||
12600524|A|182290|B|2561.2||27||
12600524|A|182290|B|2511.2||.098||
12600524|A|182290|B|2521.2|<|.03||
12600524|A|182290|B|2540.2|<|.005||
12600524|A|182290|B|2541.2|<|.08||
12600524|A|182290|B|2571.2||.023||
12600524|A|182290|B|2601.2||.0037||
12600524|A|182290|B|2611.2||.02||
12600524|A|182290|B|2621.2|<|.005||
12600524|A|182290|B|2681.2|<|.003||
12600524|A|182290|B|2691.2||.11||
12600524|A|182290|B|2701.2||.21||
12600524|A|182290|B|2711.2||.12||
12600524|A|182290|B|2731.2||.058||
12600524|A|182290|B|2741.2||.0046||
12600524|A|182290|B|2751.2|<|.03||
12600524|A|182290|B|2771.2|<|.01||
12600524|A|182290|B|2781.2||20||
12600524|A|182290|B|2801.2|<|.02||
12600524|A|182290|B|2811.2||.38||
12600524|A|182290|B|2821.2|<|.002||
12600524|B|182291|B|2123.2|<|1||
12600524|B|182291|B|2671.2|<|.05||
12600524|B|182291|B|2561.2||1.3||
12600524|B|182291|B|2511.2|<|.03||
12600524|B|182291|B|2521.2|<|.03||
12600524|B|182291|B|2540.2|<|.005||
12600524|B|182291|B|2541.2|<|.08||
12600524|B|182291|B|2571.2||.0027||
12600524|B|182291|B|2601.2|<|.002||
12600524|B|182291|B|2611.2||.0013||
12600524|B|182291|B|2621.2|<|.005||
12600524|B|182291|B|2681.2|<|.003||
12600524|B|182291|B|2691.2|<|.02||
12600524|B|182291|B|2701.2||.026||
12600524|B|182291|B|2711.2|<|.005||
12600524|B|182291|B|2731.2|<|.02||
12600524|B|182291|B|2741.2|<|.004||
12600524|B|182291|B|2751.2|<|.03||
12600524|B|182291|B|2771.2|<|.01||
12600524|B|182291|B|2781.2||1.1||
12600524|B|182291|B|2801.2|<|.02||
12600524|B|182291|B|2811.2|<|.01||
12600524|B|182291|B|2821.2||.11||
12600529|A|182292|B|2123.2|<|1||
12600529|A|182292|B|2671.2|<|.05||
12600529|A|182292|B|2561.2||1.8||
12600529|A|182292|B|2511.2|<|.03||
12600529|A|182292|B|2521.2|<|.03||
12600529|A|182292|B|2540.2|<|.005||
12600529|A|182292|B|2541.2|<|.08||
12600529|A|182292|B|2571.2||.0023||
12600529|A|182292|B|2601.2|<|.002||
12600529|A|182292|B|2611.2||.0021||
12600529|A|182292|B|2621.2|<|.005||
12600529|A|182292|B|2681.2|<|.003||
12600529|A|182292|B|2691.2|<|.02||
