"RN"|"PIPE"|"SAMPNUM"|"BOTTLE"|"SDATE"|"PROJECT1"|"SRCSAMP"|"COLLSAMP"|"COLLMETH"|"PRESMETH1"|"REC"|"DEPTH"|"PROJECT2"|"PROJECT3"|"PROJECT4"|"PRESMETH2"|"PRESMETH3"|"PRESMETH4"|"LABREF"|"LABSAMPREF"|"RECDATE"|"INPUTSRC"|"COMMNT"
13610198|A|210873|D|22/07/2002|GWAN|GB|DG|PW|FR|1|28|||||||GCL||01/08/2002||
13620069|A|210881|D|23/07/2002|GWAN|GB|DG|PW|FR|1|13.5|||||||GCL||01/08/2002||
13620143|A|210882|D|24/07/2002|GWAN|GB|DG|PW|FR|1|11|||||||GCL||01/08/2002||
13620151|A|210883|D|24/07/2002|GWAN|GB|DG|PW|FR|1|12|||||||GCL||01/08/2002||
13620156|A|210884|D|24/07/2002|GWAN|GB|DG|PW|FR|1|11|||||||GCL||01/08/2002||
13620172|A|210886|D|24/07/2002|GWAN|GB|DG|PW|FR|1|12|||||||GCL||01/08/2002||
13620177|A|210887|D|24/07/2002|GWAN|GB|DG|PW|FR|1|13|||||||GCL||01/08/2002||
13620179|A|210888|D|24/07/2002|GWAN|GB|DG|PW|FR|1|13|||||||GCL||01/08/2002||
13620203|A|210885|D|24/07/2002|GWAN|GB|DG|PW|FR|1|11.9|||||||GCL||01/08/2002||
13620261|A|210876|D|23/07/2002|GWAN|GB|DG|PW|FR|1|9|||||||GCL||01/08/2002||
13620280|A|210875|D|23/07/2002|GWAN|GB|DG|PW|FR|1|18.5|||||||GCL||01/08/2002||
42230069|A|213866|D|29/07/2002|GWAN|GB|DG|PU|FR|1|25|||||||GCL||05/08/2002||
42230167|A|213871|D|01/08/2002|GWAN|GB|DG|PU|FR|1|35|||||||GCL||05/08/2002||
42231256|A|213870|D|31/07/2002|GWAN|GB|DG|PU|FR|1|17|||||||GCL||05/08/2002||
