"RN"|"REC"|"DESCR"|"TOP"|"BOTTOM"
95987|1|TOPSOIL|0|.3
95987|2|MULTI COLOURED CLAYS|.3|16.76
95987|3|SOFT SHALES|16.76|24.38
95987|4|FRACTURED SHALES|24.38|27.43
95987|5|SHALES|27.43|32.31
65753|1|TOP SOIL|.3|1.83
65753|2|CLAY & IRONSTONE|1.83|8.53
65753|3|SANDY CLAY|8.53|13.11
65753|4|ROTLER ROCK SANDSTONE|13.11|21.03
65753|5|SHALE & COAL|21.03|36.58
65734|1|TOP SOIL|.3|1.83
65734|2|IRONSTONE & CLAY|1.83|7.32
65734|3|F & C SNADS & CLAY|7.32|8.84
65734|4|CLAY|8.84|13.72
65734|5|GRAVELY CLAY|13.72|14.94
65734|6|CLAY|14.94|16.46
65734|7|BROWN SANDSTONE|16.46|19.81
65734|8|SHALE|19.81|22.25
65736|1|TOP SOIL|0|.3
65736|2|IRONSTONE & CLAY|.3|1.52
65736|3|ROCK|1.52|8.53
65736|4|M/C CLAYS|8.53|10.36
65736|5|GRAVELY CLAY|10.36|12.8
65736|6|BROWN SAND STONE|12.8|21.34
65736|7|SHALE|21.34|22.25
65750|1|TOP SOIL|0|.91
27|1|NATURAL SURFACE|0|.15
27|2|RED CLAY|.15|6.4
27|3|RED AND WHITE CLAY|6.4|12.5
27|4|RED AND BLUE CLAY|12.5|19.81
27|5|BLUE CLAY|19.81|34.14
27|6|YELLOW CLAY|34.14|49.68
27|7|DARK CLAY|49.68|51.51
27|8|VARIETIES|51.51|67.36
27|9|SANDY SHALE|67.36|75.59
27|10|BLUE SHALE|75.59|80.16
27|11|GREY SHALE|80.16|84.43
28|1|NATURAL SURFACE|0|.15
28|2|RED SOIL|.15|5.18
28|3|PIPE CLAY|5.18|16.15
28|4|RED CLAY|16.15|20.73
28|5|SAND WELL|20.73|28.35
28|6|BLUE METAL|28.35|62.79
28|7|HARD METAL|62.79|77.72
28|8|SOFT METAL|77.72|82.91
28|9|HARD METAL|82.91|83.82
28|902|CASING 127 MMS 0-83.8 MET||
28|900|DRILLER J B COY; 10-11-1906||
29|1|NATURAL SURFACE|0|.15
29|2|LOAM|.15|1.83
29|3|RED CLAY|1.83|10.97
29|4|GREEN SANDROCK|10.97|19.2
29|5|BROWN SANDROCK|19.2|28.04
29|6|HARD METAL|28.04|91.44
30|1|NATURAL SURFACE|0|.15
30|2|BLACK SOIL|.15|8.53
30|3|CLAY|8.53|14.63
30|4|SANDSTONE|14.63|15.85
30|5|BOULDERS|15.85|17.07
30|6|ROCK|17.07|23.17
30|7|HARD ROCK|23.17|24.08
65750|2|CLAY|.91|1.22
65750|3|CLAY WITH IRON STONE LAYERS|1.22|3.35
65514|1|SANDY SOIL|0|.61
65514|2|RED AND GREY PUG CLAY|.61|2.43
65514|3|RED AND GREY SANDY CLAY|2.43|4.87
