"RN"|"PIPE"|"RDATE"|"REC"|"ANALYST"|"ANALYSIS_NO"|"SAMP_METHOD"|"SOURCE"|"PRESMETH1"|"COLLSAMP"|"PROJECT1"|"DEPTH"|"CONDUCT"|"PH"|"COLOUR"|"COLOUR_IND"|"TURB"|"TURB_IND"|"SIO2"|"SIO2_IND"|"HARD"|"ALK"|"ALK_IND"|"FIG_MERIT"|"NA_ADS_RATIO"|"RES_ALK"|"TOTAL_IONS"|"TOTAL_SOLIDS"|"NA"|"NA_IND"|"K"|"K_IND"|"CA"|"CA_IND"|"MG"|"MG_IND"|"FE"|"MN"|"FE_IND"|"MN_IND"|"HCO3"|"HCO3_IND"|"CO3"|"CO3_IND"|"CL"|"CL_IND"|"F"|"F_IND"|"NO3"|"NO3_IND"|"SO4"|"SO4_IND"|"ZN"|"ZN_IND"|"AL"|"AL_IND"|"B"|"B_IND"|"CU"|"CU_IND"|"PO4"|"PO4_IND"|"BR"|"BR_IND"|"I"|"I_IND"
19|A|11/09/1986|1|GCL|116325||GB||||0|2050|8|||||32||860|325||4.7|1.3|0|1290|1120|85||1.8||180||100||.08|3.1|||390||3.2||510||.2||.9||18||||||||||0|||||
13900014|A|23/01/1990|1|GCL|133000|PU|GB||||25|117|6.4|||||8||5|15||.1|4.4|.2|64.79|63.49|22.6||.4||.7||.8||.09|0|||18.3||0||21.9||0||0||0|||||||||||||||
40071|A|05/01/1976|1|GCL|067545|PU|GB|||||147|5.8|||||34||10|6||.2|3||68.8|99.04|22||.7||.4||2.2||0|0|||7.4||0||30||.1||6||0||||||||||0|||||
40091|A|14/10/1960|1|GCL|021402||GB|||||0|4.7|||||||27|10||.3|3.8||145.1|145.1|45.8||||1.4||5.7||||||0||5.7||70.1||.7||||15.7|||||||||||||||
40091|A|06/12/1960|1|GCL|021647||GB|||||0|5.5|||||||9|5||.1|5.5|0|111.7|0|38.6||||1.4||1.4||||||0||2.9||54.3||.2||||12.9|||||||||||||||
40091|A|05/10/1961|1|GCL|023114||GB|||||240|4.2|||||||26|9||.4|2.4||103|97.66|28||||2.3||5||||||10.5||||57||.2|||||||||||||||||||
40091|A|04/08/1964|1|GCL|030217||GB|||||235|5.3|||||||15|20||.1||.09|171|158.8|56||||6||||||||24||||75||||||10|||||||||||||||
40103|A|01/01/1975|1|GCL|064666||GB|||||1280|7.3|||||||217|45||.6|4.7||677.9|649.94|160||2||25||37.5||||||55||||295||||18.4||85|||||||||||||||
40103|A|17/05/1976|1|GCL|067817|PU|GB|||||1820|7.3|||||48||337|150||.7|5.1||998.79|953.77|214||4.5||36||60||0|0|||183||0||410||.29||23||68||||||||||0|||||
40108|A|24/05/1979|1|GCL|083227|PU|GB|||||1600|7.3|||||47||314|45||.8|4.5|0|851.2|870.24|183||2||30||58||||||55||.1||460||.1||23||40|||||||||||||||
40113|A|22/05/1979|1|GCL|083211|PU|GB|||||885|7.3|||||36||219|62||1.2|2.5||479.2|477.08|85||4.5||17||43||||||75||.1||220||.1||.5||34|||||||||||||||
40114|A|28/04/1981|1|GCL|090285||GB|||||1500|7.9|||||2||135|38||.3|8.6||769.2|747.82|230||2||13||25||||||46||.2||437||0||6||10|||||||||||||||
40121|A|28/07/1975|1|GCL|64663||GB|||||2640|7.2|||||||600|52||1|5||1346.9|1314.37|280||2||100||85||||||64||||757||||2.9||56|||||||||||||||
40121|A|17/05/1976|1|GCL|67824|PU|GB|||||2850|6.9|||||27||663|50||1|5.2||1466.1|1462.09|305||1||99||101||0|0|||61||0||860||.1||0||39||||||||||0|||||
40121|A|01/01/1977|1|GCL|074512|PU|GB|||||2800|7.6|||||34||625|46||.9|5.3||1444.5|1450.04|306||0||92||96||||||56||.1||840||0||4.4||50|||||||||||||||
40121|A|08/02/1977|1|GCL|70148|PU|GB|||||2800|7.1|||||33||652|65||1|5.1||1498|1490.84|298||2||116||88||0|0|||79||.1||858||.3||6.6||50||||||||||0|||||
40121|A|21/09/1977|1|GCL|72100|PU|GB|||||2800|7.3|||||29||736|45||1.1|4.9||1598.9|1599.94|308||3||130||100||||||55||.1||940||.1||7.7||55|||||||||||||||
40121|A|01/01/1978|1|GCL|076247||GB|||||3200|6.8|||||32||701|50||1|5.3||1565|1565.99|324||1||106||106||||||61||0||905||.2||7.8||54|||||||||||||||
40121|A|01/12/1978|1|GCL|080106||GB|||||3200|7.1|||||20||741|40||.9|5.8||1692.6|1687.69|360||2||112||112||||||49||0||975||.1||7.5||75|||||||||||||||
40121|A|18/05/1979|1|GCL|083342|PU|GB||||5|3600|7.3|||||26||805|45||.9|6.3||1919.1|1917.14|410||2||128||118||||||55||.1||1130||.1||5.9||70|||||||||||||||
40121|A|18/09/1980|1|GCL|087167||GB|||||530|7.1|||||30||111|142||.6|3.3|.62|397.1|339.16|79||4.5||28||10||||||173||.1||80||0||1.5||21|||||||||||||||
40121|A|27/04/1981|1|GCL|090287||GB|||||430|7.7|||||5||82|52||.9|2.1||248.3|221.28|43||3||28||3||||||63||.2||86||.1||8||14|||||||||||||||
40121|A|12/08/1983|1|GCL|097848||GB|||||3750|7.9|||||24||803|37||.8|7||2033.9|2035.28|455||1||140||110||||||44.5||.3||1150||.1||28||105|||||||||||||||
40121|A|25/02/1984|1|GCL|101551||GB|||||3450|7.4|||||26||740|52||.8|6.6||1871.53|1865.51|410||1.8||115||110||.02|.01|||63||.1||1100||.1||16.5||55|||||||||||||||
40121|A|23/06/1984|1|GCL|102665||GB||||18|3600|8.2|||||27||753|40||.9|6.3||1842.76|1845.62|395||1.5||120||110||.05|.01|||47.5||.6||1100||.1||12||56|||||||||||||||
40121|A|12/12/1984|1|GCL|108035|PU|GB||||18|3600|7.7|||||30||778|58||.9|6.2||1886.86|1881.28|400||1.6||130||110||.04|.02|||70||.3||1100||.1||4.8||70|||||||||||||||
40121|A|04/07/1985|1|GCL|000117|PU|GB|||||185|7.1|||||37||3|17|||7.7|.27|107.05|133.63|33||2.4||.4||.6||.04|.01|||20.5||||37||.1||7.5||5.5|||||||||||||||
40121|A|13/02/1986|1|GCL|113598||GB||||0|3150|7.9|||||27||661|41||.8|6.3||1668.82|1670.66|370||1.4||100||100||.12|0|||49.5||.3||980||0||12.5||55||||||||||0|||||
40121|A|16/07/1986|1|GCL|115760||GB||||0|3300|7.7|||||26||728|37||.8|6.7||1818.52|1821.9|415||1.7||110||110||.12|0|||44.5||.2||1050||0||11||76||||||||||0|||||
40126|A|17/05/1976|1|GCL|067814|PU|GB|||||1500|7.2|||||45||211|122||.4|6.5||853.26|822.52|218||4||22||38||0|0|||149||0||338||.26||27||57||||||||||0|||||
40126|A|01/01/1977|1|GCL|074527|PU|GB|||||1150|7.7|||||63||164|30||.5|5.2|0|603.1|647.8|154||1||18||29||||||36||.1||260||0||35||70|||||||||||||||
40126|A|28/01/1977|1|GCL|070161|PU|GB|||||1200|7.6|||||57||175|88||.5|5.5||711.9|714.51|166||1.5||24||28||0|0|||107||.3||255||.1||55||75|||||||||||||||
40126|A|11/05/1977|1|GCL|072115|PU|GB|||||1500|7.7|||||55||211|120||.4|6.5|0|860.6|841.9|218||3||22||38||||||145||.5||340||.1||26||68|||||||||||||||
40126|A|01/01/1978|1|GCL|076260|PU|GB|||||1500|7.4|||||50||211|130||.5|6.4||824.3|793.99|213||3||22||38||||||158||.2||320||.1||26||44|||||||||||||||
40137|A|23/05/1979|1|GCL|083243|PU|GB|||||3100|8.4|||||45||784|179||1.1|5.2||1708.9|1647.67|336||6||80||142||||||209||4.8||850||.1||21||60|||||||||||||||
