"RN"|"PIPE"|"RDATE"|"MEAS_POINT"|"MEASUREMENT"|"REMARK"|"LOGGER"
13600011|A|24/06/1981|R|-17.28||
13900001|A|30/08/1990|R|-3.41||
13600011|A|02/10/1981|R|-17.68||
13900004|A|30/08/1990|R|-11.8||
13600011|A|18/12/1981|R|-17.41||
13600011|A|14/04/1982|R|-17.4||
13600011|A|26/07/1982|R|-17.19||
13600011|A|04/01/1983|R|-17.91||
40001|X|01/01/1970|N|-15.4||
40002|X|15/07/1960|N|-20.1||
40003|X|01/01/1963|N|-18.3||
40006|X|28/03/1962|N|-14.3||
40008|X|17/07/1970|N|-17.9||
40009|X|28/05/1970|N|-17.9||
40011|X|01/01/1964|N|-15.2||
40012|X|01/01/1963|N|-18.6||
40014|X|01/01/1965|N|-16.1||
40015|X|17/07/1970|N|-19||
40016|X|17/07/1970|N|-19||
40017|X|17/07/1970|N|-19||
40018|X|17/07/1970|N|-19||
40022|X|20/07/1970|N|-14.6||
40023|X|01/01/1970|N|-18.1||
40025|X|08/09/1964|N|-17.3||
40028|X|20/07/1970|N|-18.6||
40029|X|27/01/1969|N|-16.4||
40031|X|31/01/1966|N|-15.7||
40033|X|01/01/1957|N|-16.4||
40038|X|03/09/1964|N|-13.7||
40039|X|09/07/1969|N|-17.3||
40040|X|01/01/1963|N|-13.1||
40043|X|01/01/1965|N|-12.8||
40044|X|01/01/1963|N|-10||
40045|X|01/01/1965|N|-14.1||
40049|X|01/01/1965|N|-12.6||
40051|X|01/01/1964|N|-7.6||
40052|X|17/07/1970|N|-6.7||
40061|X|20/07/1970|N|-7.8||
40067|X|20/07/1970|N|-7.6||
40077|X|31/12/1964|N|-6.1||
40079|A|17/11/1978|R|-1.25||
40079|A|20/12/1978|R|-2.15||
40079|A|19/02/1979|R|-4.03||
40079|A|22/03/1979|R|-3.15||
40079|A|26/06/1979|R|-3.7||
40079|A|19/10/1979|R|-4.01||
40079|A|07/11/1979|R|-5.21||
40079|A|23/01/1980|R|-3.78||
40079|A|28/03/1980|R|-3.36||
40079|A|09/07/1980|R|-3.13||
40079|A|09/10/1980|R|-4.55||
40079|A|18/12/1980|R|-4.58||
40079|A|20/07/1981|R|-2.23||
40079|A|29/09/1981|R|-2.83||
40079|A|17/12/1981|R|-3.28||
40079|A|13/04/1982|R|-.99||
40079|A|12/07/1982|R|-1.25||
40079|A|20/12/1982|R|-2.78||
40079|A|23/06/1983|R|-.05||
40079|A|26/10/1983|R|-.66||
40079|X|28/07/1970|N|-3.9||
40080|X|01/01/1964|N|-1.8||
40081|X|19/11/1967|N|-2.4||
40082|X|01/01/1969|N|-4.5||
40093|X|01/01/1965|N|-6.1||
40094|X|23/07/1970|N|-7.4||
