"RN"|"PIPE"|"RDATE"|"SAMP_METHOD"|"SOURCE"|"DEPTH"|"CONDUCT"|"DO2"|"EH"|"NO3"|"PH"|"TEMP"|"ALKALINITY"
40044|A|22/12/1976||GB||183||||||
40044|A|12/05/1977||GB||152||||||
40044|A|14/07/1977||GB||155||||||
40044|A|03/11/1977||GB||158||||||
40044|A|28/02/1978||GB||180||||||
40044|A|29/12/1978||GB||170||||||
40044|A|19/09/1979||GB||153||||||
40044|A|18/03/1980||GB||153||||||
40044|A|10/09/1980||GB||180||||||
40044|A|29/04/1981||GB||150||||||
40044|A|07/09/1981||GB||185||||||
40066|A|24/11/1976||GB||153||||||
40066|A|15/02/1977||GB||152||||||
40066|A|23/08/1977||GB||150||||||
40066|A|07/11/1977||GB||158||||||
40066|A|28/02/1978||GB||160||||||
40066|A|12/12/1978||GB||162||||||
40066|A|02/11/1979||GB||152||||||
40066|A|28/03/1980||GB||275||||||
40066|A|16/09/1980||GB||140||||||
40066|A|13/05/1981||GB||165||||||
40066|A|15/09/1981||GB||165||||||
40066|A|06/01/1983|PU|GB||180||||||
40066|A|29/07/1983|AI|GB||200||||||
40083|A|24/11/1976||GB||127||||||
40083|A|15/02/1977||GB||130||||||
40083|A|10/08/1977||GB||140||||||
40083|A|07/11/1977||GB||133||||||
40083|A|28/02/1978||GB||138||||||
40083|A|12/12/1978||GB||130||||||
40083|A|19/06/1979||GB||127||||||
40083|A|02/11/1979||GB||130||||||
40083|A|28/03/1980||GB||120||||||
40083|A|02/09/1980||GB||130||||||
40083|A|13/05/1981||GB||130||||||
40083|A|15/09/1981||GB||130||||||
40083|A|06/01/1983|PU|GB||175||||||
40083|A|09/07/1984|PU|GB||1720||||||
40091|A|24/11/1976||GB||222||||||
40091|A|15/02/1977||GB||220||||||
40091|A|23/08/1977||GB||220||||||
40091|A|02/11/1977||GB||237||||||
40091|A|28/02/1978||GB||240||||||
40091|A|27/12/1978||GB||215||||||
40091|A|02/11/1979||GB||210||||||
40091|A|28/03/1980||GB||205||||||
40091|A|13/05/1981||GB||215||||||
40091|A|15/09/1981||GB||215||||||
40102|A|27/01/1977||GB||975||||||
40102|A|17/02/1977||GB||975||||||
40102|A|10/08/1977||GB||1075||||||
40102|A|16/11/1977||GB||1000||||||
40102|A|02/03/1978||GB||1100||||||
40102|A|08/11/1978||GB||1280||||||
40102|A|09/02/1979||GB||1040||||||
40102|A|11/05/1979||GB||1040||||||
40102|A|02/11/1979||GB||1040||||||
40102|A|28/03/1980||GB||1020||||||
40102|A|27/05/1981||GB||1140||||||
40102|A|10/09/1981||GB||1040||||||
40103|A|28/02/1965||GB||1143||||||
40103|A|31/07/1965||GB||1350||||||
40103|A|28/09/1965||GB||1270||||||
40103|A|01/12/1965||GB||1250||||||
40103|A|10/02/1966||GB||1150||||||
40103|A|29/04/1966||GB||1200||||||
