"VARIABLE_NO"|"NAME"|"UNIT_CODE"|"UNITS"|"SHORTNAME"|"COMMNT"|"MINIMUM"|"MAXIMUM"|"ACCURACY"|"PRECISION"
2010|Electrical Conductivity  @ 25C|MISC|Microsiemens/cm|Conductivity @ 25C (uS/cm)||0|0|0|1
2010.5|Electrical Conductivity  @ 25C (Field)|MISC|Microsiemens/cm|Conductivity @ 25C FLD||0|0|0|1
2065|Air Temperature|DEGC|Degrees celcius|Air Temperature ()||0|0|0|.00001
2065.5|Air Temperature (Field)|DEGC|Degrees celcius|Air Temperature () FLD||0|0|1|.00001
2080.5|Water Temperature (Field)|DEGC|Degrees celcius|Water Temperature  FLD||0|0|1|.1
2100.5|pH (Field)|PH|pH units|pH (pH units) FLD||1|14|1|.1
2113|Total Alkalinity as CaCO3|MGL|Milligrams/Litre|Total Alkalinity as CaCO3 (mg/L)||0|0|0|.00001
2113.5|Total Alkalinity as CaCO3 (Field)|MGL|Milligrams/Litre|Total Alkalinity as CaCO3 FLD||0|0|1|.00001
2123.2|Alkalinity Hydroxide as OH|MGL|Milligrams/Litre|Hydroxide as OH (mg/L)||0|0|2|.00001
2124|Alkalinity Carbonate as CO3|MGL|Milligrams/Litre|Carbonate as CO3 (mg/L)||0|0|1|.00001
2125|Alkalinity Bicarbonate as HCO3|MGL|Milligrams/Litre|Bicarbonate as HCO3 (mg/L)||0|0|1|.00001
2131|Hardness as CaCO3 (measured)|MGL|Milligrams/Litre|Hardness as CaCO3 (measured) (Milligrams||0|0|0|.00001
2330.2|Total Nitrogen - suspended|MGL|Milligrams/Litre|Total Nitrogen - suspended (mg/L)||0|0|2|.00001
2331|Nitrate as NO3|MGL|Milligrams/Litre|Nitrate as NO3(mg/L)||0|0|1|.00001
2333|Nitrate + nitrite as N - total|MGL|Milligrams/Litre|Nitrate + nitrite as N - total (mg/L)||0|0|3|.00001
2336|Kjeldahl Nitrogen|MGL|Milligrams/Litre|Kjeldahl Nitrogen (mg/L)||0|0|1|.00001
2337|Total Nitrogen|MGL|Milligrams/Litre|Total Nitrogen (mg/L)||0|0|2|.00001
2337.2|Total Nitrogen|MGL|Milligrams/Litre|Total Nitrogen (mg/L)||0|0|2|.00001
2343|Nitrate+nitrite as N soluble (FieldFilt)|MGL|Milligrams/Litre|Nitrate+nitrite as N soluble (FieldFilt)||0|0|3|.00001
2343.2|Nitrate+nitrite as N soluble (FieldFilt)|MGL|Milligrams/Litre|Nitrate+nitrite as N soluble (FieldFilt)||0|0|3|.00001
2345|Ammonia as N - soluble (Field filtered)|MGL|Milligrams/Litre|Ammonia as N - soluble (Field Filtered)||0|0|3|.00001
2345.2|Ammonia as N - soluble (Field filtered)|MGL|Milligrams/Litre|Ammonia as N - soluble (Field filtered)||0|0|3|.00001
2350.2|Kjeldahl Nitrogen - dissolved|MGL|Milligrams/Litre|Kjeldahl Nitrogen - dissolved (mg/L)||0|0|2|.00001
2351|Oxygen (Dissolved)|MGL|Milligrams/Litre|Oxygen (Dissolved) (mg/L)||0|0|0|.00001
2351.5|Oxygen (Dissolved) (Field)|MGL|Milligrams/Litre|Oxygen (Dissolved) (mg/L)FLD||0|0|1|.00001
2355|Total Dissolved Nitrogen (Field- Filtered)|MGL|Milligrams/Litre|Total Dissolved Nitrogen (Field- Filter)||.02|999|2|.00001
2355.2|Total Dissolved Nitrogen (Field- Filtered)|MGL|Milligrams/Litre|Total Dissolved Nitrogen (Field- Filter)||.02|999|2|.00001
2356.2|Organic Nitrogen - dissolved|MGL|Milligrams/Litre|Organic Nitrogen - dissolved (mg/L)||0|0|2|.00001
2363|Total Phosphorus as P|MGL|Milligrams/Litre|Total Phosphorus as P    (mg/L)||0|0|3|.00001
2365|Total React P (Ortho P) - soluble (FldF)|MGL|Milligrams/Litre|Total React P (Ortho P) - soluble (FldF)||0|0|3|.00001
2365.2|Total React P (Ortho P) - soluble (FldF)|MGL|Milligrams/Litre|Total React P (Ortho P) - soluble (FldF)||0|0|3|.00001
2368|Total Phosphorus- dissolved (Field- filtered)|MGL|Milligrams/Litre|Total Phosphorus- dissolved (Field-filt)||.002|999|3|.00001
2368.2|Total Phosphorus- dissolved (Field- filtered)|MGL|Milligrams/Litre|Total Phosphorus- dissolved (Field-filt)||0|0|3|.00001
2370.2|Organic Phospherous - dissolved|MGL|Milligrams/Litre|Organic Phospherous - dissolved||0|0|2|.00001
2375.2|Total Phospherous - suspended|MGL|Milligrams/Litre|Total Phospherous -suspended||0|0|2|.00001
2501|Aluminium as Al - total|MGL|Milligrams/Litre|Aluminium as Al - total (Milligrams/Litr||0|0|0|.00001
2501.01|Aluminium as Al - total (lower LOR)|MGL|Milligrams/Litre|Aluminum   Total|ICPAES|.01|25|2|.00001
2501.02|Aluminium as AL - total (finer LOR)|MGL|Milligrams/Litre|Aluminium|ICP-MS|0|0|3|.00001
2502.02|Aluminium as Al - soluble (finer LOR)|MGL|Milligrams/Litre|Aluminium Dissolved|ICP-MS|0|0|3|.00001
2504|Aluminium as Al - total (ug/L)|UT|Micrograms/Litre|Aluminium as Al - total (ug/L)||0|0|0|.00001
