"RN"|"RDATE"|"LOG_TYPE"|"RUN_NUM"|"OPERATOR"|"START_DEPTH"|"STOP_DEPTH"|"STEP"|"AREA"|"SOURCE"|"DVD"|"COMMENTS"
13000280|02/06/2010|CIEL|1|T. WHITE|0|48.79|||DNR||
13000280|02/06/2010|GR|1|T. WHITE|0|48.79|||DNR||RUN WITH CIEL LOG
11000115|15/05/1998|GR|1|ALAN|0|49.9|.05|TOLGA|HALLS RD||
42220096|19/11/1998|GR|1|GERRY HARTH|.97|22.07|.05|TOOWOOMBA|TOOWOOMBA||
11019|16/05/2009|GR|1| B ISBISTER|-.12|463.03|.05|CUNNAMULLA|TUEN JOB||
11019|15/05/2009|CALU|1| B ISBISTER|82.38|463.13|.05|CUNNAMULLA|TUEN JOB||
11019|15/05/2009|CALU|2| B ISBISTER|-.44|96.66|.05|CUNNAMULLA|TUEN JOB||
10947|15/08/2006|FLOW|1|B ISBISTER|20.21|742.21|.05|WINTON|WINDSOR PARK||
10947|14/08/2006|CALU|1|B ISBISTER|-.88|774.42|.05|WINTON|WINDSOR PARK||
10947|14/08/2006|CALU|2|B ISBISTER|9.18|25.28|.05|WINTON|WINDSOR PARK||
10947|14/08/2006|CALU|3|B ISBISTER|.04|25.44|.05|WINTON|WINDSOR PARK||
10947|14/08/2006|GR|1|B ISBISTER|-.74|745.76|.05|WINTON|WINDSOR PARK||
10928|25/07/2002|CALU|1|B ISBISTER|-.16|73.89|.05|BOULIA|BOULIA S C||
10928|25/07/2002|GR|1|B ISBISTER|-.14|73.66|.05|BOULIA|BOULIA S C||
10738|08/03/2005|CALU|1|B ISBISTER|-.08|75.82|.05|AMBY|AMBY TOWN||
10487|20/03/2002|CALU|1|B ISBISTER|66.06|87.11|.05|GLENMORGAN|BILLENBAH||
10487|20/03/2002|CALU|2|B ISBISTER|-.37|85.53|.05|GLENMORGAN|BILLENBAH||
3594|24/04/2008|CALU|1|B ISBISTER|-1.15|297.25|.05|HAMILTON GATE|THURLOO DOWNS||
3594|24/04/2008|GR|1|B ISBISTER|-1.06|297.44|.05|HAMILTON GATE|THURLOO DOWNS||
11357|01/05/2008|CALU|1|B ISBISTER|-.95|708.3|.05|MUTTABURRA|BIBIL||
11357|01/05/2008|CALU|2|B ISBISTER|24.03|38.83|.05|MUTTABURRA|BIBIL||
11357|01/05/2008|FLOW|1|B ISBISTER|1.14|647.99|.05|MUTTABURRA|BIBIL||
11357|01/05/2008|GR|1|B ISBISTER|-.12|715.98|.05|MUTTABURRA|BIBIL||
11266|18/10/2007|CALU|1|B ISBISTER|-.32|114.93|.05|BLACKALL|LORNE PEAK||
11266|18/10/2007|GR|1|B ISBISTER|-.23|114.72|.05|BLACKALL|LORNE PEAK||
11243|07/02/2005|CALU|1|B ISBISTER|-.66|156.44|.05|HUGHENDEN|NOCOLECHE||
11142|05/05/2001|CALU|1|B ISBISTER|41.37|53.92|.05|BELFORD STATION|JULIA CREEK||
11142|05/05/2001|CALU|2|B ISBISTER|555.86|567.16|.05|BELFORD STATION|JULIA CREEK||
11142|05/05/2001|CALU|3|B ISBISTER|-.34|567.21|.05|BELFORD STATION|JULIA CREEK||
11142|05/05/2001|FLOW|1|B ISBISTER|1.59|558.79|.05|BELFORD STATION|JULIA CREEK||
11142|05/05/2001|FLOW|2|B ISBISTER|492.52|558.72|.05|BELFORD STATION|JULIA CREEK||
11142|05/05/2001|FLOW|3|B ISBISTER|492.55|556.8|.05|BELFORD STATION|JULIA CREEK||
11142|05/05/2001|GR|1|B ISBISTER|.13|567.63|.05|BELFORD STATION|JULIA CREEK||
11142|05/05/2001|GR|2|B ISBISTER|.05|567.5|.05|BELFORD STATION|JULIA CREEK||
11047|06/04/2005|CALU|1|B ISBISTER|-.87|283.08|.05|JULIA CREEK|CALEEWA||
11047|06/04/2005|GR|1|B ISBISTER|281.48|9999.03|.05|JULIA CREEK|CALEEWA||
11047|06/04/2005|GR|2|B ISBISTER|-.36|282.54|.05|JULIA CREEK|CALEEWA||
11745|19/06/2002|CALU|1|B ISBISTER|-.44|87.36|.05|LONGREACH|FRONTAGE||
11742|02/02/2001|CALU|1|B ISBISTER|-.09|265.26|.05|SRF|HUGHENDON||
11742|02/02/2001|CALU|2|B ISBISTER|-.07|108.83|.05|SRF|HUGHENDON||
